Key: 0.05379350788889722, Value: 0
Key: 0.09183126210094847, Value: 1
Key: 0.12288895836125754, Value: 2
Key: 0.14978571230570614, Value: 3
Key: 0.17384290038325523, Value: 4
Key: 0.19580400801695186, Value: 5
Key: 0.2161360428774966, Value: 6
Key: 0.23515491998352223, Value: 7
Key: 0.2530860892798213, Value: 8
Key: 0.2700970901057364, Value: 9
Key: 0.2863164429988723, Value: 10
Key: 0.30184529112902686, Value: 11
Key: 0.31676492581983423, Value: 12
Key: 0.3311418455450467, Value: 13
Key: 0.34503126955756513, Value: 14
Key: 0.3584796465297894, Value: 15
Key: 0.37152648858852, Value: 16
Key: 0.3842057399925371, Value: 17
Key: 0.3965468170823403, Value: 18
Key: 0.40857541112111484, Value: 19
Key: 0.4203141169210232, Value: 20
Key: 0.43178293133821727, Value: 21
Key: 0.4429996531157453, Value: 22
Key: 0.4539802069325936, Value: 23
Key: 0.464738908510373, Value: 24
Key: 0.47528868337306895, Value: 25
Key: 0.485641248793172, Value: 26
Key: 0.49580726622344434, Value: 27
Key: 0.5057964698626031, Value: 28
Key: 0.5156177757686301, Value: 29
Key: 0.5252793750000951, Value: 30
Key: 0.5347888135531079, Value: 31
Key: 0.5441530613120414, Value: 32
Key: 0.5533785718048397, Value: 33
Key: 0.5624713342186545, Value: 34
Key: 0.571436918866804, Value: 35
Key: 0.5802805170873415, Value: 36
Key: 0.5890069763846874, Value: 37
Key: 0.5976208314896359, Value: 38
Key: 0.6061263319025935, Value: 39
Key: 0.614527466394787, Value: 40
Key: 0.622827984868256, Value: 41
Key: 0.6310314179144885, Value: 42
Key: 0.6391410943610565, Value: 43
Key: 0.6471601570535729, Value: 44
Key: 0.6550915770851458, Value: 45
Key: 0.6629381666560017, Value: 46
Key: 0.670702590721079, Value: 47
Key: 0.67838737756235, Value: 48
Key: 0.6859949284047603, Value: 49
Key: 0.6935275261794429, Value: 50
Key: 0.7009873435248466, Value: 51
Key: 0.7083764501052437, Value: 52
Key: 0.715696819316476, Value: 53
Key: 0.7229503344404979, Value: 54
Key: 0.7301387943031041, Value: 55
Key: 0.7372639184829919, Value: 56
Key: 0.7443273521148943, Value: 57
Key: 0.7513306703247882, Value: 58
Key: 0.7582753823310474, Value: 59
Key: 0.7651629352417875, Value: 60
Key: 0.7719947175754631, Value: 61
Key: 0.778772062528978, Value: 62
Key: 0.7854962510150901, Value: 63
Key: 0.792168514488712, Value: 64
Key: 0.7987900375797649, Value: 65
Key: 0.8053619605485279, Value: 66
Key: 0.8118853815778933, Value: 67
Key: 0.8183613589155742, Value: 68
Key: 0.8247909128781007, Value: 69
Key: 0.8311750277273456, Value: 70
Key: 0.8375146534293542, Value: 71
Key: 0.8438107073043748, Value: 72
Key: 0.8500640755762061, Value: 73
Key: 0.856275614828268, Value: 74
Key: 0.8624461533731695, Value: 75
Key: 0.8685764925419743, Value: 76
Key: 0.8746674078988418, Value: 77
Key: 0.8807196503862584, Value: 78
Key: 0.8867339474056457, Value: 79
Key: 0.8927110038377454, Value: 80
Key: 0.8986515030068356, Value: 81
Key: 0.9045561075925099, Value: 82
Key: 0.9104254604924641, Value: 83
Key: 0.9162601856394691, Value: 84
Key: 0.9220608887754699, Value: 85
Key: 0.9278281581855281, Value: 86
Key: 0.9335625653941252, Value: 87
Key: 0.9392646658261589, Value: 88
Key: 0.9449349994347972, Value: 89
Key: 0.9505740912981984, Value: 90
Key: 0.9561824521869624, Value: 91
Key: 0.9617605791040511, Value: 92
Key: 0.967308955798791, Value: 93
Key: 0.972828053256464, Value: 94
Key: 0.9783183301648882, Value: 95
Key: 0.9837802333592959, Value: 96
Key: 0.9892141982467317, Value: 97
Key: 0.9946206492111104, Value: 98
Key: 1.0, Value: 99
